,car_id,date,customer_name,gender,annual_income,dealer_name,company,model,engine,transmission,color,price,dealer_zip_code,body_style,phone,dealer_region
57,C_CND_000058,2022-01-04,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,Suv,6052630,Austin
58,C_CND_000059,2022-01-04,Hershy,Male,890000,Buddy Storbeck'S Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,8939776,Middletown
59,C_CND_000060,2022-01-04,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,Slk,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Passenger,7177888,Aurora
60,C_CND_000061,2022-01-04,Amare,Male,1330000,Ryder Truck Rental And Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,06457-3834,Hardtop,6139882,Janesville
61,C_CND_000062,2022-01-04,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hatchback,7181009,Janesville
62,C_CND_000063,2022-01-04,Alexis,Male,440000,Mckinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,7936565,Austin
63,C_CND_000064,2022-01-04,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,Doubleã Overhead Camshaft,Auto,Black,14000,06457-3834,Suv,7419754,Middletown
64,C_CND_000065,2022-01-04,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,Doubleã Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,8637804,Greenville
65,C_CND_000066,2022-01-04,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,Doubleã Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,8380613,Pasco
66,C_CND_000067,2022-01-04,Anais,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,53546-9427,Suv,6595676,Janesville
67,C_CND_000068,2022-01-04,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,53546-9427,Passenger,7244029,Aurora
68,C_CND_000069,2022-01-04,Tessa,Female,660000,Classic Chevy,Volvo,S40,Doubleã Overhead Camshaft,Auto,Pale White,42000,85257-3102,Sedan,6741165,Greenville
69,C_CND_000070,2022-01-04,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,Doubleã Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,8822935,Pasco
70,C_CND_000071,2022-01-05,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,Deville,Doubleã Overhead Camshaft,Auto,Pale White,22600,06457-3834,Suv,8026457,Middletown
71,C_CND_000072,2022-01-05,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,8872334,Aurora
72,C_CND_000073,2022-01-05,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,38701-8047,Suv,6204993,Greenville
73,C_CND_000074,2022-01-05,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc Of Scottsdale,Ford,Contour,Doubleã Overhead Camshaft,Auto,Pale White,62000,99301-3882,Sedan,7031644,Pasco
74,C_CND_000075,2022-01-05,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Doubleã Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,7179280,Janesville
75,C_CND_000076,2022-01-05,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,Doubleã Overhead Camshaft,Auto,Black,45000,85257-3102,Suv,6245275,Scottsdale
76,C_CND_000077,2022-01-05,Hunter,Male,1200000,Chrysler Of Tri-Cities,Lincoln,Town Car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,7072635,Pasco
77,C_CND_000078,2022-01-05,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,6766211,Austin
78,C_CND_000079,2022-01-05,Ilan,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,Suv,8011357,Scottsdale
79,C_CND_000080,2022-01-05,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,Tl,Doubleã Overhead Camshaft,Auto,Black,28000,78758-7841,Hatchback,7539127,Austin
80,C_CND_000081,2022-01-05,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,Doubleã Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,6559063,Greenville
81,C_CND_000082,2022-01-05,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,60504-7114,Hatchback,8082987,Aurora
82,C_CND_000083,2022-01-05,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Doubleã Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,7328070,Aurora
83,C_CND_000084,2022-01-05,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,Doubleã Overhead Camshaft,Auto,Pale White,45000,38701-8047,Suv,7078803,Greenville
84,C_CND_000085,2022-01-05,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc Of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,8636283,Pasco
85,C_CND_000086,2022-01-05,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,53546-9427,Sedan,7109521,Janesville
86,C_CND_000087,2022-01-05,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,7305344,Scottsdale
87,C_CND_000088,2022-01-05,Aminata,Male,13500,Race Car Help,Chrysler,300M,Doubleã Overhead Camshaft,Auto,Black,26000,78758-7841,Suv,8941079,Austin
88,C_CND_000089,2022-01-05,Alizee,Male,13500,Tri-State Mack Inc,Bmw,328I,Doubleã Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,6136111,Scottsdale
89,C_CND_000090,2022-01-05,Caroline,Male,2550000,U-Haul Co,Oldsmobile,Bravada,Doubleã Overhead Camshaft,Auto,Pale White,19000,78758-7841,Hatchback,8001444,Austin
90,C_CND_000091,2022-01-05,Wadia,Male,1245000,Buddy Storbeck'S Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,7696195,Middletown
91,C_CND_000092,2022-01-05,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,8188037,Austin
92,C_CND_000093,2022-01-05,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,Doubleã Overhead Camshaft,Auto,Pale White,46500,60504-7114,Hardtop,8351089,Aurora
93,C_CND_000094,2022-01-05,Elisa,Male,13500,Chrysler Of Tri-Cities,Chrysler,300M,Doubleã Overhead Camshaft,Auto,Pale White,16000,99301-3882,Suv,6130679,Pasco
94,C_CND_000095,2022-01-05,Tzipora,Male,2110000,Diehl Motor Co Inc,Volvo,V70,Doubleã Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,6260413,Janesville
95,C_CND_000096,2022-01-05,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,60504-7114,Suv,8750989,Scottsdale
96,C_CND_000097,2022-01-05,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,Lhs,Doubleã Overhead Camshaft,Auto,Black,26000,38701-8047,Hatchback,6784534,Austin
97,C_CND_000098,2022-01-05,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000,99301-3882,Sedan,7944735,Janesville
98,C_CND_000099,2022-01-05,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,8099375,Scottsdale
99,C_CND_000100,2022-01-05,Valerie,Male,320000,Mckinney Dodge Chrysler Jeep,Dodge,Durango,Doubleã Overhead Camshaft,Auto,Pale White,22000,85257-3102,Suv,6641303,Austin
100,C_CND_000101,2022-01-06,Isabel,Male,13500,Race Car Help,Lexus,Es300,Doubleã Overhead Camshaft,Auto,Black,16001,78758-7841,Suv,8158584,Austin
101,C_CND_000102,2022-01-06,Isabela,Female,760000,Ryder Truck Rental And Leasing,Bmw,328I,Doubleã Overhead Camshaft,Auto,Black,16001,06457-3834,Sedan,7159142,Middletown
102,C_CND_000103,2022-01-06,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Doubleã Overhead Camshaft,Auto,Pale White,12000,38701-8047,Suv,7495544,Greenville
103,C_CND_000104,2022-01-06,Abel,Male,659000,Buddy Storbeck'S Diesel Service Inc,Mercedes-B,Sl-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,6682438,Janesville
104,C_CND_000105,2022-01-06,Amira,Male,1330000,Ryder Truck Rental And Leasing,Ford,Explorer,Doubleã Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,7189696,Middletown
105,C_CND_000106,2022-01-06,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,Doubleã Overhead Camshaft,Auto,Pale White,21000,60504-7114,Hatchback,8844816,Aurora
106,C_CND_000107,2022-01-06,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,Doubleã Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,8002612,Janesville
107,C_CND_000108,2022-01-06,Noel,Male,1362000,Chrysler Of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,99301-3882,Hardtop,6633882,Pasco
108,C_CND_000109,2022-01-06,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,Suv,8884667,Middletown
109,C_CND_000110,2022-01-06,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,Doubleã Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,6759578,Aurora
110,C_CND_000111,2022-01-09,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,Doubleã Overhead Camshaft,Auto,Pale White,57001,60504-7114,Suv,6376331,Aurora
111,C_CND_000112,2022-01-09,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,Doubleã Overhead Camshaft,Auto,Pale White,62001,38701-8047,Hatchback,6729016,Greenville
112,C_CND_000113,2022-01-09,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,Suv,7270473,Pasco
113,C_CND_000114,2022-01-09,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,Suv,7281617,Janesville
114,C_CND_000115,2022-01-09,Yadiel,Male,451000,Mckinney Dodge Chrysler Jeep,Audi,A4,Doubleã Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,7824922,Austin
115,C_CND_000116,2022-01-09,Joseph,Female,650000,U-Haul Co,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,8944331,Janesville
116,C_CND_000117,2022-01-09,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,7757499,Austin
117,C_CND_000118,2022-01-09,James,Female,13500,Nebo Chevrolet,Lexus,Gs400,Doubleã Overhead Camshaft,Auto,Black,12000,06457-3834,Hatchback,6586288,Middletown
118,C_CND_000119,2022-01-09,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,38701-8047,Hatchback,8486170,Greenville
119,C_CND_000120,2022-01-09,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,Doubleã Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,6732905,Pasco
120,C_CND_000121,2022-01-09,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,Doubleã Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,7212279,Janesville
121,C_CND_000122,2022-01-09,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,85257-3102,Hatchback,8144887,Scottsdale
122,C_CND_000123,2022-01-09,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,Doubleã Overhead Camshaft,Auto,Pale White,31000,78758-7841,Passenger,8668755,Austin
123,C_CND_000124,2022-01-09,Lucas,Male,1900000,Diehl Motor Co Inc,Saturn,Lw,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,8892301,Middletown
124,C_CND_000125,2022-01-09,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,60504-7114,Suv,6238423,Aurora
125,C_CND_000126,2022-01-09,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,Doubleã Overhead Camshaft,Auto,Pale White,26000,38701-8047,Sedan,7552575,Greenville
126,C_CND_000127,2022-01-09,Alexis,Male,642000,Suburban Ford,Mercedes-B,Sl-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hardtop,6278363,Greenville
127,C_CND_000128,2022-01-09,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,6323753,Pasco
128,C_CND_000129,2022-01-09,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc Of Scottsdale,Chevrolet,Metro,Doubleã Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,8368721,Janesville
129,C_CND_000130,2022-01-09,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,53546-9427,Passenger,6328688,Scottsdale
130,C_CND_000131,2022-01-10,Izabella,Female,1985000,Tri-State Mack Inc,Acura,Tl,Doubleã Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,6553517,Scottsdale
131,C_CND_000132,2022-01-10,Jason,Male,1275000,New Castle Ford Lincoln Mercury,Bmw,323I,Doubleã Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,8070819,Aurora
132,C_CND_000133,2022-01-10,Aniyah,Male,13500,U-Haul Co,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,78758-7841,Passenger,7541816,Austin
133,C_CND_000134,2022-01-10,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,8368460,Pasco
134,C_CND_000135,2022-01-10,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,Doubleã Overhead Camshaft,Auto,Pale White,12500,85257-3102,Passenger,7578367,Austin
135,C_CND_000136,2022-01-12,Jacqueline,Female,500000,U-Haul Co,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,Suv,6435654,Austin
136,C_CND_000137,2022-01-12,Jada,Male,1172500,Buddy Storbeck'S Diesel Service Inc,Lexus,Es300,Doubleã Overhead Camshaft,Auto,Pale White,27250,06457-3834,Suv,7906708,Middletown
137,C_CND_000138,2022-01-12,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,6536878,Aurora
138,C_CND_000139,2022-01-12,Jaelynn,Male,1310000,Capitol Kia,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,6374244,Greenville
139,C_CND_000140,2022-01-12,Jamie,Male,13500,Chrysler Of Tri-Cities,Dodge,Avenger,Doubleã Overhead Camshaft,Auto,Pale White,22000,99301-3882,Passenger,6500188,Pasco
140,C_CND_000141,2022-01-12,Janelle,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,53546-9427,Suv,8574162,Janesville
141,C_CND_000142,2022-01-12,Jasper,Male,1680000,Pars Auto Sales,Acura,Rl,Overhead Camshaft,Manual,Black,18000,38701-8047,Suv,6655590,Greenville
142,C_CND_000143,2022-01-12,Jayden,Male,1340000,Pitre Buick-Pontiac-Gmc Of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,99301-3882,Passenger,6691774,Pasco
143,C_CND_000144,2022-01-12,Jesse,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,53546-9427,Suv,7264601,Janesville
